Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
DEFHickeyBRE,£4.0m,13,474,4,1,3,1,0.36,0,0,0,0.13,0,59.04,84,0,2,28
MIDJohnsonCRY,£6.5m,15,810,13,3,8,3,1.61,1,11,1,0.7,0,39.05,94,0,0,28
DEFSchärNEW,£5.2m,9,635,7,3,4,2,0.53,0,2,0,0.26,0,40.11,95,0,8,28
FWDSolankeTOT,£7.1m,8,507,12,7,11,3,1.25,3,3,1,0.19,0,21.75,136,4,0,28
MIDKevinFUL,£5.7m,14,526,15,5,8,1,0.79,0,8,1,0.86,3,34.23,111,0,0,28
MIDAdliBOU,£5.4m,17,512,11,4,7,3,1.08,1,6,0,1.22,0,44.86,100,1,2,27
DEFHallNEW,£5.3m,15,1056,12,4,5,1,0.58,0,14,2,1.43,1,45.02,130,0,4,27
DEFLivramentoNEW,£4.9m,10,696,2,0,0,0,0.05,0,6,1,0.55,1,31.59,125,0,2,27
MIDMitomaBHA,£6.1m,13,914,19,6,13,4,2.15,0,17,1,1.31,1,44.93,107,0,0,27
DEFDisasiWHU,£4.5m,7,624,2,1,2,1,0.67,0,1,0,0.02,0,26.38,98,0,2,27
DEFWan-BissakaWHU,£4.1m,11,945,0,0,0,0,0,0,4,1,0.3,1,37.61,76,0,4,27
MIDLukićFUL,£4.9m,10,701,9,3,4,2,0.98,0,12,1,1.04,2,32.44,132,0,4,27
MIDNgumohaLIV,£4.3m,8,313,8,4,5,0,0.61,1,8,1,1,1,25.26,104,4,0,26
MIDMartinelliARS,£6.8m,14,391,12,5,11,3,1.38,1,7,2,0.5,2,34.18,83,1,0,26
DEFGeertruidaSUN,£4.5m,13,751,6,2,3,0,0.39,0,5,1,0.45,0,45.94,125,0,0,26
MIDSavinhoMCI,£6.9m,12,434,13,7,13,4,1.64,1,7,0,0.92,1,36.66,81,1,0,26
MIDJ.RamseyNEW,£5.3m,13,610,5,1,3,0,0.33,1,7,1,0.68,1,32.87,124,2,2,26
MIDCookBOU,£4.9m,9,472,1,0,0,0,0.02,0,10,0,0.44,1,30.73,118,0,10,26
DEFMøller WolfeWOL,£4.2m,13,627,3,0,3,0,0.12,0,5,3,0.94,2,43.13,56,0,0,25
MIDPottsWHU,£4.3m,12,677,1,0,1,0,0.04,0,6,1,0.82,1,34.1,132,0,2,25
FWDFosterBUR,£4.9m,13,631,9,2,7,3,1.15,1,4,1,0.18,1,25.85,89,1,0,25
DEFRobinsonFUL,£4.9m,10,677,2,0,1,0,0.05,0,10,0,0.51,0,33.94,116,3,0,25
DEFTuanzebeBUR,£3.9m,7,616,2,1,2,1,0.61,1,0,0,0.11,0,20.6,84,0,6,25
MIDNdoyeNFO,£5.5m,13,549,11,4,7,1,0.56,1,4,0,0.59,1,29.75,85,2,0,25
FWDDelapCHE,£6.2m,15,638,23,5,19,3,2.67,0,1,0,0.08,2,31.74,51,0,0,24
DEFTotiWOL,£4.2m,9,770,4,1,3,1,0.52,0,3,0,0.14,0,34.45,96,0,8,24
FWDBrojaBUR,£5.2m,13,481,13,4,13,2,1.44,0,3,1,0.11,1,28.72,65,0,2,24
DEFAït-NouriMCI,£5.7m,7,382,1,0,1,1,0.1,0,4,1,0.57,1,30.65,92,3,0,24
DEFDiopFUL,£4.3m,8,543,2,1,2,1,0.8,1,0,0,0.03,0,30.37,82,3,0,24
DEFMingsAVL,£4.3m,8,661,4,1,4,1,0.53,0,2,1,0.32,1,24.16,77,3,0,24
FWDWoodNFO,£7.1m,8,433,15,5,15,4,3.01,2,2,0,0.2,0,29.81,83,3,0,24
DEFDansoTOT,£4.2m,10,700,9,1,9,0,0.5,0,1,0,0.12,0,40.07,62,0,12,23
MIDChristieBOU,£4.9m,13,448,18,7,7,1,1.1,1,7,1,0.48,0,35.08,107,2,0,23
MIDOdobertTOT,£5.3m,13,479,11,3,9,3,1.2,0,12,2,0.54,1,34.25,80,3,0,23
MIDElangaNEW,£6.5m,16,683,13,2,9,0,1.02,0,9,1,1.16,0,42.21,83,0,0,23
MIDCairneyFUL,£4.8m,13,466,10,1,3,0,0.75,1,8,0,0.45,0,33.45,117,0,0,23
DEFMazraouiMUN,£4.9m,9,391,3,0,1,0,0.12,0,0,0,0.2,0,43.3,103,3,2,23
MIDBellegardeWOL,£5.1m,14,624,9,3,1,1,0.43,1,9,1,0.49,0,28.77,96,0,0,23
MIDMaduekeARS,£6.8m,13,589,9,4,7,2,0.4,0,13,4,1.85,0,36.31,86,0,0,23
FWDKostoulasBHA,£4.8m,11,270,15,5,13,2,1.6,1,8,2,0.3,1,24.34,86,3,0,23
MIDAndrey SantosCHE,£4.4m,13,509,6,2,5,2,0.75,1,4,0,0.55,0,31.08,124,3,0,23
MIDBergvallTOT,£5.2m,12,442,7,3,7,1,0.94,0,3,0,0.24,2,29.74,87,0,0,22
MIDEdwardsBUR,£4.7m,12,601,16,4,9,2,1.09,0,15,4,1.03,1,34.27,88,0,0,22
DEFAkéMCI,£5.2m,11,479,6,1,6,1,0.72,0,4,1,0.37,0,48.3,97,0,0,22
MIDKluivertBOU,£6.9m,10,451,10,2,1,0,0.51,1,11,1,0.83,0,25.47,82,1,0,22
MIDWard-ProwseBUR,£5.6m,9,632,3,0,0,0,0.14,0,16,7,1.54,0,31.86,150,0,6,22
MIDMountMUN,£5.9m,11,390,9,2,8,0,0.55,1,8,1,0.77,0,28.73,87,2,0,22
MIDGallagherTOT,£5.0m,9,609,7,0,5,0,0.48,0,7,1,0.39,1,27.4,108,0,2,22
DEFMoratoNFO,£4.3m,9,589,3,1,2,1,0.4,0,2,0,0.11,0,36.98,100,0,6,22
DEFSmithBOU,£4.4m,7,384,0,0,0,0,0,0,0,0,0.03,0,29.04,76,0,0,21
DEFVeltmanBHA,£4.3m,13,548,2,0,2,0,0.32,0,3,0,0.11,0,50.08,96,0,2,21
MIDRöhlEVE,£5.0m,9,310,8,1,4,1,0.58,1,3,0,0.17,1,21.83,68,2,0,21
FWDHavertzARS,£7.3m,6,298,8,1,6,3,1.57,1,7,0,0.44,2,18.7,78,3,0,21
MIDHughesCRY,£4.7m,17,845,8,0,4,0,0.49,0,16,1,1.09,0,37.86,117,0,0,21
DEFMosqueraARS,£5.3m,10,370,0,0,0,0,0,0,3,0,0.52,0,51.74,101,1,0,21
GKPerriLEE,£4.4m,8,720,0,0,0,0,0,0,0,0,0.01,0,22.21,84,0,0,21
MIDChiesaLIV,£6.3m,13,165,8,2,7,0,0.71,1,3,2,0.56,1,30.09,88,0,0,21
FWDMayendaSUN,£5.1m,11,317,8,3,7,0,0.71,1,2,1,0.09,0,19.57,69,2,0,20
