Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
MIDHowellBHA,£4.5m,1,9,0,0,0,0,0,0,0,0,0.01,0,1.84,3,0,0,1
MIDAlyssonAVL,£5.0m,1,4,0,0,0,0,0,0,0,0,0.03,0,1.78,5,0,0,1
MIDTrésorBUR,£4.3m,1,8,0,0,0,0,0,0,0,0,0,0,1.72,3,0,0,1
MIDAbbeyWOL,£4.5m,1,16,0,0,0,0,0,0,0,0,0,0,1.65,2,0,0,1
GKValdimarssonBRE,£3.8m,1,90,0,0,0,0,0,0,0,0,0,0,2.95,1,0,0,1
MIDFletcherMUN,£4.4m,1,16,0,0,0,0,0,0,0,0,0,0,1.75,3,0,0,1
DEFAlleyneMCI,£3.9m,1,45,1,1,1,0,0.1,0,0,0,0.01,0,4.23,10,0,0,1
FWDNeaveNEW,£4.3m,1,13,1,0,1,0,0.03,0,0,0,0,0,1.23,2,0,0,1
DEFByramLEE,£3.7m,1,7,0,0,0,0,0,0,0,0,0,0,2.31,-2,0,0,1
MIDJ.FletcherMUN,£4.3m,1,17,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,1
MIDGeorge HemmingsAVL,£4.5m,1,8,0,0,0,0,0,0,0,0,0.01,0,1.57,3,0,0,1
DEFM.SarrCHE,£4.5m,1,89,1,0,1,1,0.44,0,0,0,0,0,5.98,2,0,0,1
DEFRowswellTOT,£4.0m,1,1,0,0,0,0,0,0,0,0,0,0,3.56,3,0,0,1
MIDRodneyCRY,£4.4m,1,3,0,0,0,0,0,0,0,0,0,0,1.51,2,0,0,1
GKOrtega MorenoNFO,£4.7m,1,90,0,0,0,0,0,0,0,0,0.01,0,1.06,1,0,0,1
MIDMaddisonTOT,£6.8m,1,21,2,0,1,1,0.21,0,0,0,0.02,0,2.98,-1,0,0,1
MIDNyoniLIV,£4.3m,1,1,0,0,0,0,0,0,0,0,0,0,1.97,2,0,0,1
DEFSolerBOU,£3.9m,1,13,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,1
